0,0,,,,
1,1,,,0,
2,0,,,,
3,0,,,,
4,0,,,,
5,0,,,,
6,0,,,,
7,2,,,,
8,2,,,,
9,1,,,,
10,0,,,,
11,0,,,,
12,0,,,,
13,0,,,,
14,0,,,,
15,1,,,,
16,5,,,,
17,1,,,,
18,1,,,0,
19,0,,,,
20,0,,,,
21,1,,,0,
22,1,,,,
23,3,,,,
24,1,,,,
25,1,,,,
26,1,,,0,
27,0,,,,
28,0,,,,
29,1,,,,
30,1,,,,
31,3,,,,
32,3,,,,
33,1,,,,
34,1,,,,
35,1,0,0,0,0
36,1,,,,
37,1,,,,
38,1,,,0,
39,3,,,,
40,1,0,1,0,1
41,0,,,,
42,0,,,,
43,0,,,,
44,1,,,,
45,1,,,,
46,1,,,,
47,1,,,,
48,0,,,,
49,0,,,,
50,0,,,,
51,0,,,,
52,0,,,,
53,1,,,,
54,0,,,,
55,0,,,,
